outcome.test.score,treatment,school,is.female,mother.attended.secondary.school,father.attened.secondary.school,failed.at.least.one.school.year,family.receives.cash.transfer,has.computer.with.internet.at.home,is.unemployed,has.some.form.of.income,saves.money.for.future.purchases,intention.to.save.index,makes.list.of.expenses.every.month,negotiates.prices.or.payment.methods,fincial.autonomy.index
39.44263077,0,33017000,0,0,0,0,0,0,0,0,0,,0,1,77
33.77457428,1,35907352,1,1,0,1,0,0,1,1,0,39,1,1,43
81.27791595,1,35925639,1,1,1,0,0,0,1,1,0,17,0,0,-3
51.87161255,1,35046760,1,0,0,0,1,1,0,0,0,42,0,1,37
57.96205902,1,17021685,0,1,0,0,0,1,1,1,0,42,0,1,48
50.23381805,0,53014316,1,0,1,0,1,1,1,1,1,55,0,1,58
68.82397461,1,33099243,1,0,0,0,0,0,0,1,0,47,0,0,54
67.92455292,1,53003578,0,1,1,1,0,0,0,1,0,60,1,1,69
66.50546265,1,35013821,,,,,,,0,1,0,18,0,1,-18
54.41666031,0,33094098,1,0,0,0,1,1,0,0,0,48,0,1,50
80.58698273,1,33013535,1,1,0,0,1,1,0,1,0,38,0,1,54
68.50405884,1,23071354,1,0,1,0,1,1,0,0,0,47,0,1,37
75.15305328,1,35909488,1,0,0,0,0,1,0,1,1,72,0,0,60
80.80908966,0,53011597,1,0,1,0,0,1,0,0,0,57,0,1,29
54.85916901,1,35014011,,,,,,,1,1,,40,,1,43
40.31129837,1,31068608,1,1,0,0,1,1,1,1,0,72,0,1,10
51.92959976,0,17005264,1,1,0,0,1,1,0,1,1,64,0,1,88
55.91448593,0,33000042,1,0,1,0,0,1,0,1,0,96,0,1,82
62.38606262,1,23165430,1,0,0,1,1,1,0,0,0,,0,1,
47.9104805,0,33047936,1,0,0,0,1,1,0,0,0,30,0,0,18
83.90463257,1,33039186,1,0,0,1,1,1,0,1,0,43,1,1,35
73.63289642,0,33104352,1,1,1,0,1,1,0,0,0,46,0,0,39
